original_id,namn,ansvarigt_lan,kommuner,antal_arter,arter,fiskekartan_arter,antal_sjoar_survey,antal_vattendrag_survey,kallor,url_fvof,url_fiskekartan
309,Andsjöns fvof,Jönköping,"Mullsjö, Jönköping",3,Abborre; Gädda; Mört,Abborre; Gädda; Mört,1,0,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Andsjöns%20fvof&sp=false
375,Anebysjöns fvof,Jönköping,"Aneby, Nässjö",11,Abborre; Benlöja; Braxen; Gädda; Gärs; Gös; Lake; Mört; Sarv; Sutare; Öring,Abborre; Benlöja; Braxen; Gädda; Gärs; Gös; Lake; Mört; Sarv; Sutare; Öring,1,0,fiskekartan; slu_provfiske,www.vattenagarna.se/jonkopings-lans-fiskevattenagareforbund/?o=899,https://fiskekartan.se/?fv=Anebysjöns%20fvof&sp=false
443,Anens fvof,Kalmar,"Kinda, Vimmerby",7,Abborre; Gädda; Gärs; Lake; Mört; Siklöja; Ål,,1,0,slu_provfiske; gbif,www.vattenagarna.se/kalmar-lans-fiskevattenagareforbund/?o=593,https://fiskekartan.se/?fv=Anens%20fvof&sp=false
230,Angsåsortens fvof,Jönköping,Gislaved,13,Abborre; Braxen; Bäcknejonöga; Elritsa; Flodkräfta; Gädda; Kräfta obestämd; Lake; Mört; Signalkräfta; Sutare; Ål; Öring,Abborre; Braxen; Gädda; Lake; Mört; Sutare; Ål,2,4,fiskekartan; slu_provfiske,www.vattenagarna.se/jonkopings-lans-fiskevattenagareforbund/?o=874,https://fiskekartan.se/?fv=Angsåsortens%20fvof&sp=false
1651,Anjan-Gråsjöns fvof,Jämtland,Åre,8,Bäckröding; Elritsa; Harr; Kanadaröding; Lake; Röding; Sik; Öring,,1,3,slu_provfiske; gbif,,https://fiskekartan.se/?fv=Anjan-Gråsjöns%20fvof&sp=false
1849,Ankedammens fvof,Västra Götaland,Borås,3,Bäckröding; Karp; Öring,Bäckröding; Karp; Öring,0,0,fiskekartan,,https://fiskekartan.se/?fv=Ankedammens%20fvof&sp=false
1479,Annsjön Lyren fvof,Östergötland,"Finspång, Motala, Hallsberg",14,Abborre; Benlöja; Björkna; Braxen; Bäcknejonöga; Gädda; Gärs; Gös; Lake; Mört; Nors; Signalkräfta; Siklöja; Öring,,1,1,slu_provfiske,www.vattenagarna.se/ostergotlands-lans-fiskevattenagareforbund/?o=687,https://fiskekartan.se/?fv=Annsjön%20Lyren%20fvof&sp=false
2017,Anråsåns fvof,Västra Götaland,Stenungsund,12,Abborre; Bäcknejonöga; Elritsa; Gädda; Lax; Lax_Öring_Hybrid; Mört; Nejonöga; Signalkräfta; Storspigg; Ål; Öring,,1,8,slu_provfiske,www.vattenagarna.se/fiskevattenagarna-i-vastra-sverige/?o=677,https://fiskekartan.se/?fv=Anråsåns%20fvof&sp=false
1490,Ansjö fvof,Jämtland,Bräcke,12,Abborre; Elritsa; Gädda; Lake; Mört; Regnbåge; Röding; Sik; Simpa (Berg-; Sten-; Stensimpa; Öring,Abborre; Gädda; Lake; Mört; Röding; Sik; Öring,0,4,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Ansjö%20fvof&sp=false
666,Ansvar-Polcirkelns fvof,Norrbotten,Överkalix,17,Abborre; Benlöja; Bergsimpa; Bäcknejonöga; Elritsa; Gädda; Harr; Id; Lake; Lax; Lax_Öring_Hybrid; Mört; Simpa (Berg-; Spigg obestämd; Sten-; Stensimpa; Öring,,0,2,slu_provfiske,,https://fiskekartan.se/?fv=Ansvar-Polcirkelns%20fvof&sp=false
1959,Antens fvof,Västra Götaland,Alingsås,22,Abborre; Bergsimpa; Braxen; Bäcknejonöga; Elritsa; Flodkräfta; Gädda; Gärs; Gös; Lake; Mört; Nejonöga; Nors; Regnbåge; Signalkräfta; Siklöja; Simpa (Berg-; Småspigg; Sten-; Sutare; Ål; Öring,,1,8,slu_provfiske,www.anten.se,https://fiskekartan.se/?fv=Antens%20fvof&sp=false
424,Antvarden-Lermons fvof,Kalmar,Västervik,0,,,0,0,,,https://fiskekartan.se/?fv=Antvarden-Lermons%20fvof&sp=false
1410,Antvardens fvof,Östergötland,"Åtvidaberg, Västervik",7,Abborre; Braxen; Flodkräfta; Gädda; Mört; Sarv; Sutare,,0,0,gbif,,https://fiskekartan.se/?fv=Antvardens%20fvof&sp=false
